start	end	text
402120	404040	首先不同的一个国家
404040	406400	对应了不同的无流解决方案
406400	407760	墨西哥来看的话
407760	410120	它三种无流解决方案都已经开放给了
410120	413120	中国卖家 自发货 官方海域舱模式
413120	415600	还有美国转运舱模式
415600	418440	巴西来说话目前只有自发货
418440	419360	智利来说的话
419360	422960	目前自发货 官方海域舱和美国转运舱
422960	425520	也都同时已经开放给中国卖家了
425520	428200	哥伦比亚目前也是只有自发货模式
428200	431520	阿根廷占点目前已经对中国卖家开放的
431520	432920	有美国转运舱
432920	435640	我刚才说到了阿根廷会有越来越多的
435640	437640	一个无流解决方案开放给中国卖家
437640	441160	其中的自发货就是在今年的9月中旬
441160	443640	应该会开放给中国卖家的
443640	445440	这是无流解决方案的模块
445440	448720	再往下我们可以看到是佣金比例
449600	450800	佣金比例来看的话
450800	452640	大家可以看到基本上是浮动的
452640	453880	13-23不等
453880	455480	也就是说不同的品类
455480	458120	对应的是不同的一个佣金比例
458120	459480	大家如果想测算的话
459480	461360	可以关注每个多的官网
461360	464240	或者公众号掌可以进行自我测算
464240	466280	巴西的话因为是自发货
466280	469120	所以势必有很多卖家会进行铺货
469120	470880	所以我们考虑到这一点
470880	475640	会把所有的商品的佣金比例定为
475640	477360	要么都是12.5%
477360	479400	要么都是16.5%
479400	481920	它俩区别就在于前台流量的不同
481920	484240	大家可以在博力多销和厚历时销中
484240	487480	去选择对应的一个佣金比例
487480	492040	第二回到这一页PBT的最开头
492040	494840	如果大家一套资料
494840	496000	审核OK的话
496000	498240	大家制度可以开多少个店铺
498240	501160	首先这五个国家的自发货店铺
501160	503080	你都是可以开通的
503080	504280	安科丁战典上线以后
504280	505680	它也是可以开通的
505680	507520	其次你可以在后台去激活
507520	509560	墨西哥的海外舱店铺
509560	511000	如果你有智力的税号
511000	515680	你同时也可以去激活智力的海外舱店铺
515760	518320	同时我们的美国转运舱的经理
518320	519320	也会联系你
519320	521960	你同时也可以开墨西哥
521960	524160	智力和阿根廷的美国转运舱店铺
524160	525680	也就是说你一套资料
525680	526880	如果OK的话
526880	528840	你制度可以开十几个店铺
528840	531360	并且这十几个店铺都是独立运营的
531360	532400	击效不互通
539760	541640	我们来看一下无流解决方案
541640	543600	这也主要跟大家总结了一下
543600	545160	刚才说到的
545160	548560	官方海舱目前开放的是墨西哥和智力
548560	551560	自发货除了阿根廷9月中旬开放以外
551560	553880	剩下的四个都已经开放给了中国卖家
553880	557480	美国转运舱在今年也新增了阿根廷和智力
557480	558360	这两个占点
561160	563960	下面说一下自发货的无流解决方案
563960	569040	美科多内部是把自发货简称为IDS的
569040	571920	而且我们的自发货就是跨境小包
571920	573360	汁油的模式
573400	576960	我们合作的有比如说菜鸟无流商
576960	580720	然后他们会在卖家出单之后
580720	583200	去进行上门揽舰
583200	585720	或者如果不在揽售范围内
585720	590400	需要卖家自行寄到他们的一个集货舱
590400	594440	然后由他们去进行包裹的上架
594440	600960	扫码以及轻观派送等等一系列的动作
601960	604400	我们来看一下自发货的优势
604400	607680	首先刚才说到了国内可以免费上门揽售
607680	610680	如果大家在菜鸟的揽售范围内
610680	614080	第二点就是投入成本也相对比较灵活
614080	616920	第三个就是选品范围相对比较裹
616920	620680	支持普货带电的或者特货的等等一系列产品
620680	623840	第四个就是大家做自发货很大的一个原因
623840	626120	就是它可以去进行一个测评
626120	628720	并且今年其实对自发货来说的话
628720	630640	有很大利好政策
630760	632080	我们总结了有四个
632080	636080	第一个就是其实从2025年1月14号来看的话
636080	639480	自发货其实占点对于中国卖家来说的话
639480	641840	运费成本是进行了大幅减免的
641840	643840	最高可达18%
643840	648440	第二个在部分占点是支持跨电核单的
648440	652200	在所有的占点都是支持同一店铺的核单的
652200	655240	就是消费者如果在你家店铺买了三四单产品
655240	657800	他们是可以核单发送的
657880	661840	第三个就是一些低客单价的产品
661840	667240	也可以上传自发货模式下的一个listing
667240	669640	目前我们把这个门槛已经降至了三美金
669640	672680	也就是说你只要销售三美金以上的产品
672680	673840	你就可以上传Listing
673840	675400	然后做自发货模式
676680	680600	并且刚才也说到了菜鸟是有上门懒收服务的
680600	684080	那它今年为了优化卖家的体验
684080	686440	其实它把它的懒收仓已经扩大了
686440	687640	增到了25个
687640	688920	增了25个
690920	692240	下面再来说一下
692240	694840	自发货你在72小时内
694840	698680	只需要你把货物运到指定无流商的集货仓
698680	701560	或者48小时内让菜鸟上门懒收掉
701560	702760	就可以了
702760	705560	基本上到达目的国的一个周期
705560	707720	是主流城市都是14天左右
707720	711960	一些骗你的地区可能会达到30天左右
711960	713880	一般14天左右都是ok的
713960	714680	主流城市
716200	718000	很多卖家会觉得
718000	719160	这个时间有点长
719160	720200	其实大家不用担心
720840	724040	因为消费者在买自发货模式的时候
724040	725640	他已经有一个心理预期
725640	728680	我可能两周后或者三周后才能收到货物
728680	729680	才能收到货物
731920	733600	我们可以看左边这张地图
733600	735880	就是目前菜鸟的一个懒收仓
735880	737160	全国共有25个
739560	743400	然后右边是一些包装尺寸
743400	744600	包装尺寸
744600	745640	以及最大重量
745640	748200	但是这个仅供参考
748200	750480	建议因为是跨境小包只有
750480	752400	所以你的重量越大的话
752400	754280	其实你的运费会越高
754280	757160	所以建议的产品是在2公斤以内
757160	759760	甚至1公斤以内的一些轻小件
759760	760640	一些轻小件
760640	764160	并且它的重量是按商品包装后的毛众来算的
764160	765480	包装后的毛众来算
767480	771880	我们再来看一下自发货的运费如何计算
771960	774520	首先这一页都是自发货一些常见
774520	775600	卖家会温到的问题
775600	777120	我们来一个一个看一下
777120	778720	那首先运费怎么算呢
778720	781720	刚才说到的是以毛众来计费的
781720	789960	并且如果你的产品的费用是低于299币所的
789960	791160	不同的国家不一样
791160	793200	基本上大家可以看到换算成美金
793200	796720	就是14美金或者13美金以下的产品的
796720	800800	那这个物流的费用是由消费者去承担的
800880	802040	并且你怎么追踪呢
802040	805240	刚才也说到了如果菜鸟上门懒收后
805240	806680	它进行扫码以后
806680	808960	你和消费者就同时可以看到
808960	812000	左下角所示的这个物流追踪的图案
812000	813160	物流追踪的图案
813160	816640	然后再来说一下买家提问供货选择
816640	820720	首先我们今年也是开放了给到了一些卖家
820720	823640	如果你的消费者进行了退货
823640	826160	并且这个消费者的信用也是ok的
826160	828920	并且根据你的品类价值
828920	830920	和退货原因去进行评估
830920	832080	如果ok的情况下
832080	834840	你会显有一个急速的退货标志
834840	837640	那并且你可以在你的后台
837640	840440	去填写你的退货的一个地体
840440	843120	那我们呢就会把你的这个货物
843120	845160	去寄到你的退货地体
845160	847600	但是如果你的产品发现
847600	849960	寄过来和你当时销售的时候
849960	851040	是不太一样的
851040	853000	出现了损贯呀或者货品不同
853000	856040	你需要72小时内去后台
856040	858280	72小时内去后台
858280	861080	与美克多的在线客服去进行反馈
861080	862480	去进行反馈
862480	863720	那最后一个问题就是
863720	866640	自发货的商品有售价限制吗
866640	867480	其实是有的
867480	868760	其实是有的
868760	870560	基本上我们可以看到
870560	872800	在巴西就是3到3000美金
872800	874680	墨西哥是3到1000美金
874680	876720	哥伦比亚是3到2000美金
876720	879400	然后治理是3到1000美金
879400	882520	那阿根廷呢是13到3000美金
882520	885440	以内的产品是支持自发货的
885440	886640	但是大家也知道
886640	889000	自发货的产品的这个客战价
889000	890280	也不建议过高
890280	891320	也不建议过高
894680	895720	那介绍完了自发货
895720	898280	来跟大家说一下
898280	899880	自发货端
899880	904320	就是卖家招募的一个卖家画像
904320	908520	首先我们是支持你如果是品类
908520	909280	关家也好
909280	910280	或者你是金不行
910280	911760	贩不行的卖家都OK
911760	913400	哪怕你是供贸一体的
913440	916520	卖家也是OK的
916520	919480	我们都是欢迎大家来入驻每个多的
919480	922880	那如果你想依品牌卖家的身份来入驻的话
922880	925400	你需要是中国品牌的所有者
925400	926240	代理商
926240	930680	或者你在其他的这些国家或者地区
930680	932200	有二标或者TN标
932200	935000	你都可以依品牌的身份来入驻
935000	938360	但是如果你想受到当地品牌的保护的话
938360	941280	你是需要有当地的一个二标的
941280	943080	你是需要有当地的二标的
943080	945480	然后因为我们是支持中国卖家
945480	946840	去布俱拉美的
946840	948800	所以需要你拥有中国内地
948800	952920	或者中国香港的一个公司的营业制造
952920	954720	那因为大家做自发货的话
954720	956440	需要做一些扑过
956440	959440	所以我们希望你拥有一个完善的ERP的系统
959440	962320	这样会大大的节省你的经历
962320	964960	去帮助你一见的去上传Listing呀
964960	966200	管理店铺
966200	967680	并且我们希望你有一个
967680	971360	专门的米克多的运营团队去进行客服
971360	975320	拔货等等一系列的动作
975320	977280	那第三个我们需要
977280	980720	你有一个成熟的国内的背货体系
980720	983240	换句话说你需要有多SKU
983240	984720	不管你是经铺也好
984720	985240	贩铺也好
985240	987400	你需要能铺得起来
987400	988760	那如果你成功入驻之后
988760	991760	你会获得自发货卖家的一系列福利
991760	993040	这里头包括
993040	997880	但不仅限于这些屏幕上所展示的
997880	999640	比如说大素的活动资源位
999640	1003080	优质的产品补贴等等一系列
1003080	1005440	那右边有一些推荐的内幕
1005440	1008680	因为米克多是一个全屏类的平台
1008680	1011480	所以在各个内幕下
1011480	1013080	都有一些细分内幕的推荐
1013080	1016200	后面我也会具体讲到
1016200	1017520	后面我会具体讲到
1017520	1022680	还是以轻小件为主的
1022680	1025560	下面来说一下在自发货向下
1025560	1026560	这个模式下
1026600	1030280	我们今年或者说去年年底开始
1030280	1033320	推出了一个VIP的项目
1033320	1036560	市场上大家都应该也有听说FTI项目
1036560	1040680	我们会选取一些有强大供应链优势
1040680	1043440	它要么有合作的一些工厂
1043440	1047760	要么有自由工厂的一些工厂型的卖家
1047760	1048680	这是第一点
1048680	1052160	第二点它有一个托管经历
1052160	1053400	不管是全托管
1053400	1056400	还是半托管的一个经验
1056400	1059480	都可以参与到这个项目上来
1059480	1062800	我们的要求就是你在近12个月
1062800	1064240	就是一年内
1064240	1067800	你在这些托管项目的平台上的流水
1067800	1071280	能达到30万美金以上
1071280	1074280	并且你有强供应链优势
1074280	1075440	比如说你有自由工厂
1075440	1077240	或者深度合作工厂
1077240	1079520	那拥有至少100条以上的listing
1079520	1083600	那你就可以来开一个供贸议题的项目
1083600	1087760	那我们这个项目其实是有很多
1087760	1090960	官方真金白银补贴的一些福利的
1090960	1094480	比如说在佣金上会有大幅的一个折扣
1094480	1095840	刚才说到的不同品类
1095840	1097880	不同对应不同的一个佣金
1097880	1099400	13到23笨的
1099400	1102160	但是这个项目下所有的品类的佣金
1102160	1104560	都只有8%
1104560	1108440	并且也是一个菜鸟20小时上门揽收的
1108440	1109920	如果你在揽收范围内
1109920	1112440	并且它有专门的一个流量入口
1112480	1114360	是有流量的扶持
1114360	1115240	以及一系列的
1115240	1117320	比如说物流费用的减免
1117320	1119040	新手企行礼包
1119040	1121480	品牌卖家的互行
1121480	1123000	这一系列动作的
1123000	1124680	并且我们在今年年底
1124680	1127000	会推出半托和全托业务
1127000	1129400	那我们这部分业务
1129400	1133080	也会优先在FTI的卖家中去进行邀约
1133080	1134240	去进行邀约
1134240	1138400	所以如果大家符合这个项目的话
1138400	1139720	大家可以联系我
1139720	1141240	大家可以联系我
1141240	1143480	下面说一下入住的资料
1143480	1145760	首先这个是常规店铺的一个入住
1145760	1148600	不是FTI项目的一个入住的资料
1148600	1150240	FTI项目大家私自联系
1150240	1152080	我会发给大家
1152080	1153760	那需要常规店铺的话
1153760	1155680	需要你有法人身份证
1155680	1157800	然后营业执照
1157800	1159720	电子邮箱和手机号码
1159720	1161280	这里我会重点说几个
1161280	1163440	首先是营业执照
1163440	1167320	营业执照需要大家有销售或者贸易的属性
1167320	1169000	销售或者贸易的属性
1169000	1170320	第二个是电子邮箱
1170360	1171160	电子邮箱
1171160	1172320	大家需要使用JMEL
1172320	1173440	HODMEL或者阿里云
1173440	1175120	或者OUTLOOK
1175120	1177280	FOXMEL这五个中的一个
1177280	1179480	不要使用163或者QL邮箱
1179480	1180880	否则会被拒信
1180880	1181960	否则会被拒信
1183960	1184360	好
1184360	1185440	那下面说一下
1185440	1187560	如果大家想入住的话
1187560	1189440	有什么样的一个
1190440	1191480	绿通
1191480	1194080	那这个二维码就是专门
1194080	1196040	这场活动的一个绿通
1196040	1197520	或者这样活动一个绿通
1197600	1199360	我来说一下
1199360	1203400	经理链接和大家去进行公众号
1203400	1205320	自助测的一个区别
1205320	1207160	首先第一点就是
1207160	1210200	经理的链接是一个绿色的渠道
1210200	1210920	大家都知道
1210920	1212400	如果大家提交的话
1212400	1215520	会有一个NOEL CUSTOMER的KVC审核
1215520	1217280	那经理的这个绿通
1217280	1218920	KVC审核是优先的
1218920	1220240	KVC审核是优先的
1220240	1221160	这是第一点
1221160	1221640	第二点
1221640	1224280	如果你就是入住完成之后
1224280	1227840	你会进到一个不同经理
1227840	1229840	包括各类服务商
1229840	1232600	在一起的一个扶持群
1232600	1236440	帮助大家去快速的进行入住
1236440	1238680	出单等等一系列的动作
1238680	1239480	在那个群里
1239480	1241080	大家有一系列
1241080	1242800	这个可以交流
1242800	1243640	可以提问
1243640	1246640	可以解决问题的
1246640	1247920	我们的经理
1247920	1249520	包括服务商朋友
1249520	1250960	各类的服务商朋友
1250960	1252960	以及各类的卖家
1253000	1254600	所以也会给大家提供一个
1254600	1256680	每个多的卖家圈子
1256680	1258840	快速帮助大家出单为止
1258840	1263880	然后我们会分配到运营经理给到大家
1263880	1266120	分配到运营经理给到大家
1266120	1271440	这个都是大家通过经理的绿通
1271440	1274080	能够实现的一系列的福利
1274080	1275440	能够实现的一系列的福利
1279760	1282680	下面跟大家介绍几个
1282680	1288480	大家可以去找到卖家不能的一些地方
1288480	1290680	首先就是我们的公众号
1290680	1292760	第二个是我们的官方视频号
1292760	1294800	第三个是我们今年刚上线的
1294800	1297000	每个多的中国的官网
1297000	1299720	Maccato Liberator CNN
1299720	1301480	下面进入下一part
1301480	1305440	这一part是关于自发货
1305440	1308040	向下一系列的报品预测
1308040	1310440	那这里头也分为三块
1310440	1313120	第一块是消费电子品类
1313120	1315480	第二块是家居工业
1315480	1317200	气膜配内幕
1317200	1319840	第三块是时尚内幕
1319840	1322360	第三块的一个分享
1322360	1325240	因为这里头涉及的细分内幕
1325240	1326360	是非常多的
1326360	1328120	所以我不会一一讲到
1328120	1329800	只会总结归纳一下
1329800	1333840	大家记得去进行拍照或者截图
1333840	1336600	如果大家有相似的一个供应链
1336600	1338880	也欢迎大家不拘每个多
1338880	1341240	首先来看一下消费电子
1341240	1345600	我们整体来看一下这四大占点
1345600	1351120	消费电子的一个细分内幕下的一个排名
1351120	1353600	雾涌至于大家可以看到排名前几的
1353600	1356400	都是智能手机的零配件
1356400	1358160	外围设备的配件
1358160	1360720	然后零件或者智能手机
1360720	1362600	这四大占点都是这样的
1362600	1364000	都是这样的
1364000	1366200	那前十里头也不乏有
1366200	1369200	比如说共同点的耳机
1369200	1373320	有细配件等等相关的一些产品
1373320	1375760	我们来看一下不同的一个国家
1375760	1378600	它不同的一个需求点
1378600	1380520	墨西哥和巴西相似
1380520	1382880	因为目前入住的中国外加
1382880	1385120	也是有一定数量的
1385120	1386800	所以大家如果再入的话
1386800	1389000	希望大家有品牌类
1389000	1390400	或者有高性价比
1390400	1393360	或者有差异化类的一些产品
1393360	1397680	并且墨西哥和巴西对于手机
1397680	1398920	或者平板电脑
1398920	1400000	电话等等
1400000	1401720	有不同的一系列认证
1401720	1403080	大家可以看一下
1403080	1406920	比如说墨西哥需要通过NOM认证
1406920	1412520	巴西手机也是需要通过Anatel的认证
1412520	1416440	所以大家一定在布局这些产品之前
1416440	1417920	准备好认证
1417920	1419360	哥伦比亚和智力
1419360	1421120	大家可以看到都是高增长
1421200	1423560	和高潜力的一个市场
1423560	1427960	所以其实它遍布的内幕的价格段
1427960	1429840	都是非常需要补充的
1429840	1431720	所以它是覆盖全内幕
1431720	1433320	和全价格段位的
1436000	1437760	那这里可以看一下
1437760	1439240	推荐的一些客单价
1439240	1441160	是在20美元经济上
1441160	1441880	倾小件
1441880	1442360	差异化
1442360	1442840	精品化
1442840	1443760	品牌化为主
1444960	1447360	好 我们来细看一下
1447360	1450680	首先是智能手机零配件和配件
1450720	1452200	大家从这一页开始
1452200	1456280	就要记得去进行拍照或者截屏了
1456280	1457520	我不会一一读给大家
1457520	1459000	但大家可以看到
1459000	1461880	手机壳 屏幕 配件
1461880	1463240	然后手机零部件
1463240	1465200	充电类的产品等等相关的
1465200	1466880	也有建议的客单价
1466880	1469080	然后也有一部分的主流型号
1469080	1472400	大家一定要和这些主流型号去进行适配
1472400	1473520	然后电脑周边
1473520	1476560	比如说有鼠标 键盘 存储类的
1476560	1480440	以及电脑内部的一些零配件
1480440	1482880	包括电脑外接的一些设备
1482880	1484640	包括3D打印机的配件
1484640	1486880	等等相关的倾小件为主的一些产品
1488200	1489880	再往下就是穿戴类的
1489880	1492600	比如说头戴式耳机
1492600	1494800	TWS 鼓传导的耳机
1494800	1496920	以及各类的智能手表
1496920	1499480	因为智能手表这一块的话
1499480	1501320	目前相对也比较卷
1501320	1504840	所以需要大家提升的
1504840	1507600	就是它需要有一个高端的
1507600	1510080	这个产品的品类的户区
1510120	1511800	你需要有多功能化
1511800	1514680	比如说你需要有健康监测
1514680	1516840	运动场景失配等低能耗
1516840	1519880	等等一系列差异化的一些功能
1519880	1521280	再往下是相机类
1521280	1523080	比如说数码相机
1523080	1524520	相机的一些配件
1524520	1525680	无人机的配件
1525680	1528680	以及相机的一些零部件
1528680	1531560	包括摄影的一些外搭的
1531560	1534880	比如说影棚的配件等等相关的
1534880	1536200	需要提示的是
1536200	1538000	其实大家可以看到三脚架
1538000	1539920	充电器这些配件
1539960	1541320	需求是非常稳定的
1541320	1542520	而且是非常大的
1542520	1544800	尤其这些产品也是非常适合
1544800	1547600	线上的这种渠道的
1549400	1551040	游戏相关的就是
1551040	1552680	比如说掌机
1552680	1553400	游戏机
1553400	1554800	游戏手柄这些相关的
1554800	1556000	大家一定要记住
1556000	1557760	一定要记住这些产品
1557760	1560480	大家一定不要清拳
1562160	1564280	再往下就是总结了一系列
1564280	1568560	大家可以看到不同年分
1568560	1571320	年对年的一个同比增长
1571320	1572680	增股都是非常快的
1572680	1574360	至少是40%以上
1574360	1577520	甚至达到了100%以上的一个增速
1577520	1579320	价格区间也给大家列好了
1579320	1580320	刚才说到了
1580320	1581280	因为自发货
1581280	1582880	所以大家不要卖可能价
1582880	1583880	太高的一些产品
1583880	1585000	所以这里建计一个
1585000	1586840	大家都是10到50
1586840	1589200	或者10到300之内的
1591200	1593080	好下面说一下气膜配
1593080	1595840	气膜配首先可以说到是
1595840	1598440	拉美整体的一个气膜
1598440	1601440	行业都是非常基础类的
1601440	1603920	一系列的这种车型
1603920	1605680	或者摩托车型
1605680	1607000	但是他们适配的型号
1607000	1608560	在这里已经列给大家了
1608560	1609680	古流型号
1609680	1611880	大家不管做内部的替换件也好
1611880	1613440	还是外部的一些
1613440	1618280	互动的提升交互体验的产品也好
1618280	1622040	都是需要适配于这些品牌的
1622040	1624440	一系列的气膜配
1624440	1626920	好我们先来看一下
1626920	1630000	高增长的一些长清类的内幕
1630000	1633080	这里推荐的就是有一些替换件相关的
1633080	1638800	比如说增配一些中控系统
1638800	1640880	以及行车的安全气囊这种
1640880	1641640	是替换件
1641640	1644000	包括比较有门槛的
1644000	1647920	比如说车辆的变速器等等一系列的
1647920	1651640	因为这些是一些有门槛的产品
1651640	1654040	所以它整体的利润也是比较可观的
1654040	1655240	也是比较可观的
1655280	1657320	并且汽车因为刚才说到
1657320	1660880	他们整体的一个工厂都是比较初级的
1660880	1663120	所以增加这种交互的
1663120	1665200	比如说汽车中控
1665200	1667520	然后等等一系列的产品
1667520	1669280	它的需求量是非常大的
1669280	1672200	需求量是非常大的
1672200	1674560	我们再来看一下高需求的产品
1674560	1676080	这里有比如说
1676080	1677320	行车记录仪
1677320	1679680	汽车的JPS以及摩托车相关的
1679680	1680520	比如说对讲机
1680520	1683000	夹盖 羽衣 手套 手柄等等
1683040	1685120	都有
1685120	1686320	需要注意的就是
1686320	1689960	大家一定要注意清全的情况
1689960	1690800	不要清全
1690800	1692640	不要清全
1692640	1696960	再往下就是一些高潜力雷幕
1696960	1699560	这里比如说汽车的后视镜盖
1699560	1700680	车载的支架
1700680	1702200	汽车的贴膜
1702200	1704720	翻盘的这种盘套
1704720	1705920	汽车的做一套这种
1705920	1707640	因为是要清小件
1707640	1711240	所以建议大家不要做那种太大的一些质份
1711240	1712200	不要做太大质份
1712200	1715240	就要做一些软装材质相关的
1715240	1718000	你在自发物上才会有一定的布局
1718000	1719800	但如果同时
1719800	1721280	如果大家做的海苍的话
1721280	1724320	这些产品其实也可以布局的
1724320	1726840	下面来跟大家分享一下
1726840	1728240	家居类目
1728240	1729120	家居工业类
1730640	1731680	同样我们来看一下
1731680	1732680	各大站点
1732680	1737080	一些二级家居类目下的一些排名
1737080	1737800	总结一下
1737800	1740320	其实大家可以看到这四大站点
1740320	1744040	比较集中的几个方方面
1744040	1745240	第一个就是家居家居
1745240	1746640	第二个就是厨房
1746640	1748360	这两块其实在四大站点
1748360	1750760	都是非常好买的
1750760	1752760	那并不是说其他类目不太好买
1752760	1756520	比如说一些户外相关的一些产品
1756520	1758320	也是非常热卖的
1758320	1760040	在各个国家都是
1760040	1761760	我们来具体看一下
1761760	1763560	首先是高增长的类目
1763560	1766400	目前市场的增速是非常快的
1766400	1768640	大家可以看到工具类目里头
1768640	1770520	有这种工具的配件
1770520	1771200	测量的工具
1771200	1772240	手动工具
1772240	1773480	以及电动工具
1773480	1776440	电动工具这里其实需要用一些配件
1776440	1778440	整体的一个大队的工具是非常重的
1778440	1779840	不适合做自发货的
1779840	1782760	还有原意工具的等等相关配件
1782760	1783960	腾众大家记得
1783960	1785520	在最好在两公斤以内
1785520	1786760	甚至一公斤以内
